"Chr","Start","End","Conc","Conc_alpha","Conc_beta","Fold","p-value","FDR","Called1","Called2"
"chr4",63403138,63403338,2.22,3.1,1.04,2.06,0.00327,0.0333,2,2
"chr4",133887505,133887705,2.22,3.1,1.04,2.06,0.00327,0.0333,2,3
"chr7",19321514,19321714,2.22,3.1,1.04,2.06,0.00327,0.0333,1,0
"chr9",26026503,26026703,2.22,3.1,1.04,2.06,0.00327,0.0333,2,2
"chr1",88260769,88260969,2.22,3.1,1.04,2.06,0.00327,0.0333,1,0
"chr10",124794498,124794698,2.22,3.1,1.04,2.06,0.00327,0.0333,2,2
"chr2",26646948,26647148,2.22,3.1,1.04,2.06,0.00327,0.0333,2,3
"chr3",32150061,32150261,2.22,3.1,1.04,2.06,0.00327,0.0333,2,2
"chr4",33587297,33587497,2.22,3.1,1.04,2.06,0.00327,0.0333,2,2
"chr5",46709708,46709908,3.96,2.93,4.39,-1.46,0.00327,0.0333,2,3
"chr11",30986317,30986517,3.99,4.63,3.32,1.31,0.00328,0.0333,2,3
"chr7",73618450,73618650,4.68,5.27,4.1,1.17,0.00328,0.0333,2,3
"chr9",40323230,40323430,4.92,5.49,4.36,1.13,0.00328,0.0333,2,3
"chr2",71211616,71211816,3.34,4.04,2.54,1.5,0.00328,0.0334,2,3
"chr14",27335942,27336142,3.34,4.04,2.54,1.5,0.00328,0.0334,2,3
"chr8",36184181,36184381,2.84,3.62,1.92,1.7,0.0033,0.0335,2,3
"chr13",22028838,22029038,2.84,3.62,1.92,1.7,0.0033,0.0335,2,3
"chr7",4924000,4924200,2.84,3.62,1.92,1.7,0.0033,0.0335,2,2
"chr9",40800916,40801116,6,6.52,5.51,1.01,0.0033,0.0335,2,3
"chr12",99392126,99392326,3.46,4.15,2.71,1.45,0.0033,0.0335,2,2
"chr5",66676342,66676542,3.03,3.78,2.16,1.62,0.0033,0.0335,2,3
"chrX",103366282,103366482,3.03,3.78,2.16,1.62,0.0033,0.0335,2,3
"chr7",28780300,28780500,3.03,3.78,2.16,1.62,0.0033,0.0335,2,3
"chr18",43145815,43146015,4.19,4.81,3.54,1.26,0.0033,0.0335,2,3
"chr6",38433700,38433900,4.51,5.11,3.92,1.19,0.00331,0.0336,2,3
"chr1",84694799,84694999,2.22,3.09,1.04,2.05,0.00332,0.0336,1,0
"chr14",45878405,45878605,2.22,3.09,1.04,2.05,0.00332,0.0336,2,2
"chr4",134245523,134245723,2.22,3.09,1.04,2.05,0.00332,0.0336,2,3
"chr6",8836753,8836953,2.22,3.09,1.04,2.05,0.00332,0.0336,2,1
"chr8",94678700,94678900,2.22,3.09,1.04,2.05,0.00332,0.0336,2,2
"chr9",107296054,107296254,2.22,3.09,1.04,2.05,0.00332,0.0336,2,1
"chr12",71136529,71136729,2.22,3.09,1.04,2.05,0.00332,0.0336,2,2
"chr14",121037400,121037600,2.22,3.09,1.04,2.05,0.00332,0.0336,1,0
"chr15",73748120,73748320,2.22,3.09,1.04,2.05,0.00332,0.0336,2,1
"chr2",19199260,19199460,2.22,3.09,1.04,2.05,0.00332,0.0336,2,1
"chr3",36689564,36689764,2.22,3.09,1.04,2.05,0.00332,0.0336,2,3
"chr5",125141541,125141741,2.22,3.09,1.04,2.05,0.00332,0.0336,2,1
"chr8",23028375,23028575,2.22,3.09,1.04,2.05,0.00332,0.0336,2,1
"chr9",28197727,28197927,2.22,3.09,1.04,2.05,0.00332,0.0336,2,2
"chr10",80702011,80702211,5.62,6.16,5.12,1.04,0.00332,0.0336,2,3
"chr18",25753162,25753362,3.99,4.62,3.32,1.31,0.00332,0.0336,2,2
"chr5",137786703,137786903,3.75,4.41,3.04,1.37,0.00332,0.0336,2,3
"chr4",130359929,130360129,4.4,5,3.78,1.22,0.00332,0.0336,2,3
"chr9",30137960,30138160,4.11,4.74,3.46,1.28,0.00332,0.0337,2,3
"chr2",114013523,114013723,3.9,4.55,3.21,1.34,0.00333,0.0337,2,3
"chr4",131873423,131873623,3.33,4.04,2.54,1.49,0.00333,0.0337,2,3
"chr2",48413143,48413343,3.33,4.04,2.54,1.49,0.00333,0.0337,2,2
"chr11",41340337,41340537,4.04,3.04,4.46,-1.42,0.00333,0.0338,2,3
"chr8",70200285,70200485,3.19,3.91,2.36,1.55,0.00333,0.0338,2,3
"chr7",64751605,64751805,3.19,3.91,2.36,1.55,0.00333,0.0338,2,2
"chr14",14120818,14121018,4.63,5.22,4.04,1.18,0.00333,0.0338,2,3
"chrX",142228512,142228712,4.46,5.05,3.85,1.21,0.00333,0.0338,2,3
"chr2",128817939,128818139,4.6,5.19,4.01,1.18,0.00333,0.0338,2,3
"chr14",84443346,84443546,5.17,5.72,4.63,1.09,0.00335,0.0339,2,3
"chr3",133600938,133601138,3.03,3.77,2.16,1.62,0.00335,0.0339,2,2
"chr4",46451994,46452194,3.03,3.77,2.16,1.62,0.00335,0.0339,2,3
"chr11",96824151,96824351,3.42,4.12,2.63,1.49,0.00335,0.0339,2,3
"chr18",66002614,66002814,5.09,5.64,4.54,1.1,0.00335,0.0339,2,3
"chrX",42152085,42152285,4.51,5.11,3.92,1.19,0.00335,0.0339,2,3
"chr1",105829312,105829512,4.55,5.14,3.95,1.19,0.00336,0.034,2,3
"chr5",9265996,9266196,5.31,5.85,4.78,1.07,0.00336,0.034,2,3
"chr5",38220329,38220529,4.11,4.74,3.46,1.28,0.00336,0.034,2,3
"chr18",74444055,74444255,3.75,4.41,3.04,1.37,0.00336,0.034,2,3
"chr10",85387771,85387971,2.21,3.08,1.04,2.04,0.00336,0.034,1,0
"chr11",53794798,53794998,2.21,3.08,1.04,2.04,0.00336,0.034,2,2
"chr2",120352989,120353189,2.21,3.08,1.04,2.04,0.00336,0.034,2,2
"chr7",78803939,78804139,2.21,3.08,1.04,2.04,0.00336,0.034,2,2
"chr1",171044536,171044736,2.21,3.08,1.04,2.04,0.00336,0.034,2,3
"chr15",67083121,67083321,2.21,3.08,1.04,2.04,0.00336,0.034,2,2
"chr17",29322627,29322827,2.21,3.08,1.04,2.04,0.00336,0.034,2,2
"chr1",95433097,95433297,4.94,5.51,4.39,1.12,0.00336,0.034,2,3
"chr9",22225734,22225934,4.71,5.29,4.13,1.16,0.00338,0.0341,2,3
"chr3",131490184,131490384,5.29,5.84,4.76,1.08,0.00338,0.0341,2,3
"chrX",151169406,151169606,3.81,4.47,3.1,1.36,0.00338,0.0341,2,2
"chr1",92641837,92642037,3.19,3.91,2.36,1.55,0.00338,0.0342,2,3
"chr6",128355767,128355967,4.76,5.33,4.19,1.15,0.00339,0.0343,2,3
"chr14",54686723,54686923,5.32,5.87,4.8,1.07,0.00339,0.0343,2,3
"chr11",74522546,74522746,2.83,3.6,1.92,1.69,0.00339,0.0343,2,3
"chr18",37814972,37815172,3.02,3.77,2.16,1.61,0.00339,0.0343,2,3
"chr11",29247305,29247505,5.75,6.28,5.25,1.03,0.00339,0.0343,2,3
"chr3",69316700,69316900,5.83,6.35,5.33,1.02,0.0034,0.0343,2,3
"chr3",58692225,58692425,5.45,5.99,4.93,1.06,0.0034,0.0343,2,3
"chr6",87838783,87838983,4.29,4.9,3.67,1.24,0.0034,0.0343,2,3
"chr8",90877215,90877415,4.11,4.74,3.46,1.28,0.0034,0.0344,2,3
"chr6",124741013,124741213,3.75,4.4,3.04,1.36,0.00341,0.0344,2,2
"chr16",94569388,94569588,4.86,5.43,4.29,1.14,0.00341,0.0344,2,3
"chr11",75454555,75454755,2.2,3.07,1.04,2.03,0.00341,0.0344,2,1
"chr17",48019666,48019866,2.2,3.07,1.04,2.03,0.00341,0.0344,2,2
"chr4",63743758,63743958,2.2,3.07,1.04,2.03,0.00341,0.0344,2,2
"chr2",152847817,152848017,3.84,4.49,3.16,1.33,0.00341,0.0345,2,3
"chr16",28929705,28929905,3.9,4.54,3.21,1.33,0.00341,0.0345,2,3
"chr10",62486785,62486985,4.33,4.94,3.71,1.23,0.00342,0.0346,2,3
"chr5",108065540,108065740,4.03,4.67,3.36,1.3,0.00342,0.0346,2,3
"chr13",60595287,60595487,3.18,3.9,2.36,1.54,0.00343,0.0346,2,3
"chr6",38254105,38254305,4.94,5.51,4.39,1.12,0.00343,0.0346,2,3
"chr6",17554909,17555109,5.01,5.57,4.46,1.12,0.00343,0.0346,2,3
"chr18",25486992,25487192,4.54,5.13,3.95,1.18,0.00343,0.0346,2,3
"chr10",13868803,13869003,5.29,5.84,4.76,1.07,0.00343,0.0347,2,3
"chr10",128543146,128543346,2.83,3.6,1.92,1.68,0.00344,0.0347,1,1
"chr16",44725962,44726162,3.28,4,2.46,1.54,0.00344,0.0347,1,0
"chr16",78376808,78377008,5.79,6.31,5.29,1.02,0.00344,0.0348,2,3
"chr16",36071520,36071720,4.11,4.73,3.46,1.27,0.00344,0.0348,2,3
"chr12",76558315,76558515,4.11,4.73,3.46,1.27,0.00344,0.0348,2,3
"chr10",95564023,95564223,4.11,4.73,3.46,1.27,0.00344,0.0348,2,3
"chr5",63812332,63812532,5.11,5.67,4.57,1.1,0.00345,0.0348,2,3
"chr3",40664482,40664682,2.2,3.07,1.04,2.02,0.00345,0.0348,2,1
"chr19",5812196,5812396,2.2,3.07,1.04,2.02,0.00345,0.0348,1,2
"chr3",126848173,126848373,3.89,4.54,3.21,1.33,0.00345,0.0349,2,3
"chr2",32288089,32288289,4.35,4.96,3.74,1.21,0.00346,0.0349,2,3
"chr6",90462467,90462667,4.52,5.11,3.92,1.2,0.00346,0.0349,2,3
"chr10",42501941,42502141,5.68,6.2,5.17,1.03,0.00346,0.0349,2,3
"chr13",103774449,103774649,4.18,4.8,3.54,1.25,0.00347,0.035,2,3
"chr1",86470780,86470980,4.18,4.8,3.54,1.25,0.00347,0.035,2,3
"chr17",56291237,56291437,2.6,3.39,1.63,1.76,0.00347,0.035,1,3
"chr4",147443203,147443403,4.29,4.9,3.67,1.23,0.00348,0.0351,2,3
"chrX",162643604,162643804,4.78,5.36,4.21,1.14,0.00348,0.0351,2,3
"chr10",109011551,109011751,4.71,5.28,4.13,1.16,0.00348,0.0351,2,3
"chr12",57382880,57383080,3.41,4.11,2.63,1.48,0.00348,0.0351,2,2
"chr1",193035757,193035957,3.64,4.31,2.92,1.39,0.00348,0.0351,2,3
"chr8",22047082,22047282,2.08,2.99,0.78,2.22,0.00349,0.0352,2,1
"chr4",43381863,43382063,3.74,4.4,3.04,1.36,0.00349,0.0352,2,3
"chr2",30133639,30133839,2.19,3.06,1.04,2.01,0.0035,0.0352,2,2
"chr5",139736306,139736506,2.19,3.06,1.04,2.01,0.0035,0.0352,2,2
"chr7",68914462,68914662,2.19,3.06,1.04,2.01,0.0035,0.0352,2,2
"chr3",145634398,145634598,4.52,5.11,3.92,1.19,0.0035,0.0353,2,3
"chr4",13751262,13751462,3.8,4.46,3.1,1.35,0.00351,0.0354,2,3
"chr6",66896300,66896500,4.73,5.31,4.16,1.15,0.00351,0.0354,2,3
"chr17",72837345,72837545,4.39,4.99,3.78,1.21,0.00351,0.0354,2,3
"chr2",24975040,24975240,5.54,6.07,5.03,1.04,0.00351,0.0354,2,3
"chr1",39577297,39577497,4.62,5.21,4.04,1.17,0.00352,0.0354,2,3
"chr10",21882169,21882369,2.51,3.34,1.46,1.88,0.00352,0.0354,2,3
"chr18",36670190,36670390,3.18,3.9,2.36,1.53,0.00352,0.0354,2,3
"chr17",14203373,14203573,4.36,4.97,3.74,1.23,0.00352,0.0354,2,3
"chr7",44590651,44590851,5.42,5.96,4.9,1.05,0.00352,0.0354,2,3
"chr4",127243705,127243905,3.6,4.28,2.85,1.43,0.00352,0.0355,2,3
"chr1",131138120,131138320,4.45,5.04,3.85,1.19,0.00353,0.0355,2,3
"chr11",121237030,121237230,4.75,5.33,4.19,1.14,0.00353,0.0355,2,3
"chr15",12084291,12084491,3.94,4.59,3.26,1.32,0.00353,0.0355,2,3
"chr5",31202239,31202439,3.89,4.53,3.21,1.32,0.00354,0.0357,2,3
"chr1",36557932,36558132,2.18,3.05,1.04,2.01,0.00354,0.0357,2,1
"chr10",71502119,71502319,2.18,3.05,1.04,2.01,0.00354,0.0357,2,2
"chr9",22328063,22328263,4.02,4.66,3.36,1.29,0.00355,0.0357,2,3
"chr4",109280219,109280419,4.39,4.99,3.78,1.21,0.00355,0.0358,2,3
"chr8",25720021,25720221,3.8,4.45,3.1,1.35,0.00355,0.0358,2,3
"chr10",20966189,20966389,2.51,3.33,1.46,1.88,0.00357,0.0359,2,2
"chr4",57129969,57130169,2.51,3.33,1.46,1.88,0.00357,0.0359,2,2
"chr4",65477233,65477433,2.51,3.33,1.46,1.88,0.00357,0.0359,2,2
"chr9",70942686,70942886,2.51,3.33,1.46,1.88,0.00357,0.0359,2,2
"chr17",65931042,65931242,2.51,3.33,1.46,1.88,0.00357,0.0359,2,2
"chr12",110446841,110447041,4.42,5.02,3.81,1.21,0.00357,0.0359,2,3
"chr13",85199396,85199596,2.56,0.9,3.1,-2.2,0.00357,0.0359,1,3
"chr2",105514928,105515128,2.56,0.9,3.1,-2.2,0.00357,0.0359,1,3
"chr13",82092241,82092441,2.56,0.9,3.1,-2.2,0.00357,0.0359,2,3
"chr14",50870363,50870563,4.14,4.77,3.5,1.27,0.00357,0.0359,2,3
"chr17",26973018,26973218,4.48,5.07,3.88,1.19,0.00358,0.0359,2,3
"chr16",18289288,18289488,5.65,6.17,5.14,1.03,0.00358,0.036,2,3
"chr8",95534018,95534218,3.27,3.99,2.46,1.53,0.00358,0.036,2,3
"chr7",25219879,25220079,4.57,5.16,3.98,1.18,0.00359,0.036,2,3
"chr5",68133002,68133202,2.06,2.98,0.78,2.2,0.00359,0.036,2,1
"chr18",37954876,37955076,3.89,4.53,3.21,1.32,0.00359,0.0361,2,3
"chr8",11555292,11555492,4.17,4.79,3.54,1.24,0.00359,0.0361,1,1
"chr18",64887669,64887869,4.07,4.7,3.41,1.29,0.00361,0.0362,2,3
"chr19",36348409,36348609,3.52,4.2,2.78,1.42,0.00361,0.0362,2,3
"chr7",112491771,112491971,3.52,4.2,2.78,1.42,0.00361,0.0362,2,3
"chr14",25185624,25185824,2.5,3.33,1.46,1.87,0.00361,0.0363,2,2
"chr2",57698805,57699005,2.5,3.33,1.46,1.87,0.00361,0.0363,2,2
"chr13",12559838,12560038,2.5,3.33,1.46,1.87,0.00361,0.0363,2,1
"chr18",80554861,80555061,2.5,3.33,1.46,1.87,0.00361,0.0363,2,3
"chr9",66126544,66126744,2.5,3.33,1.46,1.87,0.00361,0.0363,2,1
"chr1",182651522,182651722,2.5,3.33,1.46,1.87,0.00361,0.0363,2,2
"chr3",97888657,97888857,2.5,3.33,1.46,1.87,0.00361,0.0363,2,2
"chr2",122666338,122666538,2.5,3.33,1.46,1.87,0.00361,0.0363,2,3
"chr5",115348923,115349123,2.5,3.33,1.46,1.87,0.00361,0.0363,2,3
"chr6",100140676,100140876,2.5,3.33,1.46,1.87,0.00361,0.0363,2,3
"chrX",140956718,140956918,5.46,6,4.95,1.05,0.00362,0.0363,2,3
"chrX",71816568,71816768,4.68,5.26,4.1,1.16,0.00362,0.0363,2,3
"chr5",13399297,13399497,3.4,4.1,2.63,1.47,0.00363,0.0364,2,3
"chr3",83080823,83081023,3.26,3.98,2.46,1.52,0.00363,0.0364,2,3
"chr17",81653078,81653278,4.21,4.83,3.59,1.24,0.00363,0.0364,2,3
"chr1",36307625,36307825,3.73,4.39,3.04,1.35,0.00363,0.0364,2,3
"chr11",59964892,59965092,2.06,2.97,0.78,2.19,0.00363,0.0364,2,3
"chr15",71382593,71382793,2.06,2.97,0.78,2.19,0.00363,0.0364,2,2
"chr17",28522595,28522795,2.06,2.97,0.78,2.19,0.00363,0.0364,1,1
"chr4",15787003,15787203,2.06,2.97,0.78,2.19,0.00363,0.0364,2,3
"chr5",98523152,98523352,2.94,3.71,2.04,1.67,0.00363,0.0364,2,3
"chr12",37831420,37831620,2.56,0.94,3.1,-2.16,0.00364,0.0364,2,3
"chrX",97327955,97328155,2.56,0.94,3.1,-2.16,0.00364,0.0364,2,3
"chrX",134307964,134308164,4.92,5.48,4.36,1.12,0.00364,0.0365,2,3
"chr4",33467738,33467938,2.74,3.54,1.78,1.76,0.00364,0.0365,2,2
"chr9",95407243,95407443,2.74,3.54,1.78,1.76,0.00364,0.0365,2,3
"chr10",89732226,89732426,4.36,4.96,3.74,1.22,0.00364,0.0365,2,3
"chr4",81442646,81442846,5.33,5.87,4.81,1.06,0.00365,0.0366,2,3
"chr1",160246072,160246272,2.5,3.32,1.46,1.86,0.00366,0.0366,2,3
"chr2",127133879,127134079,2.5,3.32,1.46,1.86,0.00366,0.0366,2,2
"chr9",23042279,23042479,2.5,3.32,1.46,1.86,0.00366,0.0366,2,3
"chr9",106247710,106247910,2.5,3.32,1.46,1.86,0.00366,0.0366,2,3
"chr1",118429897,118430097,2.5,3.32,1.46,1.86,0.00366,0.0366,2,3
"chr1",167782166,167782366,2.5,3.32,1.46,1.86,0.00366,0.0366,2,3
"chr11",69122440,69122640,2.5,3.32,1.46,1.86,0.00366,0.0366,2,1
"chr2",14620998,14621198,2.5,3.32,1.46,1.86,0.00366,0.0366,2,2
"chr8",42187165,42187365,2.5,3.32,1.46,1.86,0.00366,0.0366,2,3
"chr1",39453866,39454066,2.03,-0.06,2.63,-2.69,0.00366,0.0366,0,2
"chr12",49191527,49191727,2.03,-0.06,2.63,-2.69,0.00366,0.0366,0,3
"chr7",100928504,100928704,2.03,-0.06,2.63,-2.69,0.00366,0.0366,0,2
"chr17",15918725,15918925,2.03,-0.06,2.63,-2.69,0.00366,0.0366,0,3
"chr3",23756806,23757006,2.03,-0.06,2.63,-2.69,0.00366,0.0366,0,2
"chr3",61244236,61244436,2.03,-0.06,2.63,-2.69,0.00366,0.0366,1,3
"chr7",52702819,52703019,2.03,-0.06,2.63,-2.69,0.00366,0.0366,0,2
"chr10",112553828,112554028,2.03,-0.06,2.63,-2.69,0.00366,0.0366,0,3
"chr3",83885192,83885392,2.03,-0.06,2.63,-2.69,0.00366,0.0366,0,3
"chr6",103077000,103077200,2.03,-0.06,2.63,-2.69,0.00366,0.0366,0,3
"chr6",106662280,106662480,2.03,-0.06,2.63,-2.69,0.00366,0.0366,0,3
"chr7",25855158,25855358,2.03,-0.06,2.63,-2.69,0.00366,0.0366,0,3
"chr7",52261697,52261897,2.03,-0.06,2.63,-2.69,0.00366,0.0366,0,3
"chr1",25076138,25076338,2.03,-0.06,2.63,-2.69,0.00366,0.0366,0,3
"chr13",76150605,76150805,2.03,-0.06,2.63,-2.69,0.00366,0.0366,0,3
"chr15",8581146,8581346,2.03,-0.06,2.63,-2.69,0.00366,0.0366,0,3
"chr15",47760814,47761014,2.03,-0.06,2.63,-2.69,0.00366,0.0366,2,2
"chr18",87754124,87754324,2.03,-0.06,2.63,-2.69,0.00366,0.0366,0,3
"chr11",43148214,43148414,2.03,-0.06,2.63,-2.69,0.00366,0.0366,1,3
"chr12",92228719,92228919,2.03,-0.06,2.63,-2.69,0.00366,0.0366,0,2
"chr12",97090754,97091072,2.03,-0.06,2.63,-2.69,0.00366,0.0366,0,3
"chr14",118365272,118365472,2.03,-0.06,2.63,-2.69,0.00366,0.0366,0,3
"chr16",55256492,55256692,2.03,-0.06,2.63,-2.69,0.00366,0.0366,0,3
"chr3",77227286,77227486,2.03,-0.06,2.63,-2.69,0.00366,0.0366,0,3
"chr3",122733890,122734090,2.03,-0.06,2.63,-2.69,0.00366,0.0366,0,2
"chr5",67883880,67884080,2.03,-0.06,2.63,-2.69,0.00366,0.0366,0,3
"chr7",41685259,41685459,2.03,-0.06,2.63,-2.69,0.00366,0.0366,0,2
"chr7",75609883,75610083,2.03,-0.06,2.63,-2.69,0.00366,0.0366,0,2
"chr9",15866688,15866888,2.03,-0.06,2.63,-2.69,0.00366,0.0366,0,3
"chr1",72454788,72454988,2.03,-0.06,2.63,-2.69,0.00366,0.0366,0,3
"chr12",33689332,33689532,2.03,-0.06,2.63,-2.69,0.00366,0.0366,0,3
"chr16",41700916,41701116,2.03,-0.06,2.63,-2.69,0.00366,0.0366,0,3
"chr5",14839664,14839864,2.03,-0.06,2.63,-2.69,0.00366,0.0366,0,3
"chr7",19241137,19241337,2.03,-0.06,2.63,-2.69,0.00366,0.0366,0,3
"chr16",52641470,52641670,2.03,-0.06,2.63,-2.69,0.00366,0.0366,0,3
"chr7",16537442,16537642,2.03,-0.06,2.63,-2.69,0.00366,0.0366,0,3
"chr14",10453356,10453556,3.59,4.27,2.85,1.42,0.00367,0.0366,2,3
"chr8",71371491,71371691,5.32,5.86,4.8,1.06,0.00367,0.0367,2,3
"chr2",34406742,34406942,3.4,4.09,2.63,1.46,0.00368,0.0367,2,3
"chr8",30863164,30863364,3.26,3.98,2.46,1.52,0.00368,0.0367,2,3
"chr6",127245953,127246153,3.26,3.98,2.46,1.52,0.00368,0.0367,2,3
"chr10",69185974,69186174,3.26,3.98,2.46,1.52,0.00368,0.0367,2,3
"chr19",3419370,3419570,3.26,3.98,2.46,1.52,0.00368,0.0367,2,3
"chr7",65693383,65693583,3.26,3.98,2.46,1.52,0.00368,0.0367,2,3
"chr1",38129832,38130032,5.4,5.94,4.88,1.05,0.00368,0.0367,2,3
"chr11",90030559,90030759,2.05,2.96,0.78,2.18,0.00368,0.0367,2,1
"chr13",88821613,88821813,2.05,2.96,0.78,2.18,0.00368,0.0367,2,2
"chr18",39319771,39319971,2.05,2.96,0.78,2.18,0.00368,0.0367,1,0
"chr5",46364380,46364580,2.05,2.96,0.78,2.18,0.00368,0.0367,2,1
"chr6",73222873,73223073,2.05,2.96,0.78,2.18,0.00368,0.0367,1,0
"chr9",41890384,41890584,2.05,2.96,0.78,2.18,0.00368,0.0367,2,1
"chr17",67711479,67711679,2.94,3.7,2.04,1.66,0.00368,0.0367,2,2
"chr8",78161633,78161833,2.94,3.7,2.04,1.66,0.00368,0.0367,2,2
"chr7",113513573,113513773,5.6,6.13,5.1,1.03,0.00369,0.0368,2,3
"chr2",10300874,10301074,2.74,3.53,1.78,1.75,0.00369,0.0368,2,2
"chr3",31902488,31902688,2.74,3.53,1.78,1.75,0.00369,0.0368,2,2
"chr5",142401513,142401713,2.74,3.53,1.78,1.75,0.00369,0.0368,2,2
"chr4",80873307,80873507,2.74,3.53,1.78,1.75,0.00369,0.0368,2,2
"chr6",8730857,8731057,2.57,0.98,3.1,-2.13,0.0037,0.0369,1,3
"chr14",97942375,97942575,2.57,0.98,3.1,-2.13,0.0037,0.0369,2,3
"chr3",149604006,149604206,2.57,0.98,3.1,-2.13,0.0037,0.0369,1,3
"chr10",97313065,97313265,3.11,3.85,2.26,1.58,0.0037,0.0369,2,2
"chr18",44463683,44463883,4.57,5.15,3.98,1.17,0.0037,0.0369,2,3
"chr14",116632274,116632474,3.69,4.36,2.98,1.38,0.00371,0.0369,2,3
"chr6",55203242,55203442,4.62,5.2,4.04,1.16,0.00371,0.037,2,3
"chrX",53643686,53643886,4.32,4.92,3.71,1.22,0.00371,0.037,2,3
"chr4",8085004,8085204,2.49,3.31,1.46,1.86,0.00371,0.037,2,2
"chr7",79928233,79928433,2.49,3.31,1.46,1.86,0.00371,0.037,2,2
"chr19",47228737,47228937,2.49,3.31,1.46,1.86,0.00371,0.037,2,2
"chr8",45358422,45358622,2.49,3.31,1.46,1.86,0.00371,0.037,2,2
"chr10",45646906,45647106,2.49,3.31,1.46,1.86,0.00371,0.037,2,2
"chr12",24961976,24962176,2.49,3.31,1.46,1.86,0.00371,0.037,2,3
"chr12",85339165,85339365,2.49,3.31,1.46,1.86,0.00371,0.037,2,3
"chrX",103321899,103322099,2.49,3.31,1.46,1.86,0.00371,0.037,2,3
"chrX",18322931,18323131,3.47,4.17,2.71,1.46,0.00371,0.037,2,3
"chr11",17257556,17257756,4.29,4.9,3.67,1.23,0.00373,0.0371,2,3
"chr1",40233353,40233553,2.04,2.95,0.78,2.17,0.00373,0.0371,1,0
"chr1",129149009,129149209,2.04,2.95,0.78,2.17,0.00373,0.0371,2,1
"chr1",169764158,169764358,2.04,2.95,0.78,2.17,0.00373,0.0371,2,2
"chr3",109782456,109782656,2.04,2.95,0.78,2.17,0.00373,0.0371,2,3
"chr5",38997589,38997789,2.04,2.95,0.78,2.17,0.00373,0.0371,2,2
"chr6",126921369,126921569,2.04,2.95,0.78,2.17,0.00373,0.0371,2,2
"chr9",107526744,107526944,2.04,2.95,0.78,2.17,0.00373,0.0371,2,1
"chrX",102939629,102939829,2.04,2.95,0.78,2.17,0.00373,0.0371,2,1
"chr3",11535936,11536136,2.04,2.95,0.78,2.17,0.00373,0.0371,2,3
"chr14",33371352,33371552,2.04,2.95,0.78,2.17,0.00373,0.0371,2,2
"chr5",73168830,73169030,2.04,2.95,0.78,2.17,0.00373,0.0371,2,2
"chr11",108307266,108307466,3.26,3.97,2.46,1.51,0.00373,0.0371,2,3
"chr9",85749962,85750162,3.26,3.97,2.46,1.51,0.00373,0.0371,2,1
"chr12",52446623,52446823,2.94,3.7,2.04,1.65,0.00373,0.0371,2,3
"chr2",28681839,28682039,2.94,3.7,2.04,1.65,0.00373,0.0371,2,3
"chr9",86082751,86082951,2.74,3.52,1.78,1.74,0.00374,0.0372,2,3
"chr2",79967106,79967306,2.74,3.52,1.78,1.74,0.00374,0.0372,2,3
"chr12",17690632,17690832,5.02,5.58,4.48,1.1,0.00374,0.0372,2,3
"chr4",110096085,110096285,3.53,2.38,3.98,-1.6,0.00374,0.0372,2,3
"chr8",90908267,90908467,5.67,6.2,5.17,1.02,0.00374,0.0372,2,3
"chr13",24800699,24800899,4.25,4.86,3.63,1.23,0.00375,0.0373,2,3
"chr3",116200204,116200404,5.4,5.94,4.88,1.05,0.00375,0.0373,2,3
"chr18",69925419,69925619,4.32,4.92,3.71,1.21,0.00375,0.0373,2,3
"chr2",118549628,118549828,3.69,4.35,2.98,1.37,0.00375,0.0373,2,3
"chr18",10533054,10533254,3.11,3.84,2.26,1.58,0.00375,0.0373,2,2
"chr7",6127185,6127385,3.11,3.84,2.26,1.58,0.00375,0.0373,2,3
"chr7",30331984,30332184,3.11,3.84,2.26,1.58,0.00375,0.0373,2,3
"chr14",70159439,70159639,2.49,3.31,1.46,1.85,0.00376,0.0374,2,3
"chr15",85735328,85735528,2.49,3.31,1.46,1.85,0.00376,0.0374,2,3
"chr13",94562752,94562952,2.49,3.31,1.46,1.85,0.00376,0.0374,2,2
"chr10",78487794,78487994,2.49,3.31,1.46,1.85,0.00376,0.0374,2,3
"chr3",95985333,95985533,2.49,3.31,1.46,1.85,0.00376,0.0374,2,2
"chr3",156560810,156561010,5.25,5.79,4.72,1.07,0.00377,0.0374,2,3
"chr15",59314859,59315059,5.77,6.29,5.28,1.01,0.00377,0.0374,2,3
"chr6",83185964,83186164,3.39,4.08,2.63,1.46,0.00378,0.0375,2,3
"chr11",120991154,120991354,2.03,2.94,0.78,2.16,0.00378,0.0375,2,2
"chr14",9977176,9977376,2.03,2.94,0.78,2.16,0.00378,0.0375,2,2
"chr14",15369960,15370160,2.03,2.94,0.78,2.16,0.00378,0.0375,2,2
"chr14",31662208,31662408,2.03,2.94,0.78,2.16,0.00378,0.0375,2,2
"chr14",71532359,71532559,2.03,2.94,0.78,2.16,0.00378,0.0375,2,0
"chr16",5495186,5495386,2.03,2.94,0.78,2.16,0.00378,0.0375,2,2
"chr2",25607934,25608134,2.03,2.94,0.78,2.16,0.00378,0.0375,2,2
"chr3",86863016,86863216,2.03,2.94,0.78,2.16,0.00378,0.0375,2,2
"chr5",97296196,97296396,2.03,2.94,0.78,2.16,0.00378,0.0375,2,2
"chr8",73100723,73100923,2.03,2.94,0.78,2.16,0.00378,0.0375,2,1
"chr9",27409938,27410138,2.03,2.94,0.78,2.16,0.00378,0.0375,2,2
